model_name,split_name,patch_idx,trust_score_pct,mean_risk,pct_high_risk,norm_disagreement,norm_stability,norm_spectral,norm_structural,raw_disag_mean,raw_stab_mean,raw_spectral_mean,raw_struct_mean,psnr_db,ssim,psnr_gain,gradient_corr,edge_iou,edge_f1
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",45,86.88,0.1312,0.0,0.11525146663188934,0.1725388914346695,0.12536439299583435,0.11165720224380493,0.001400883193127811,0.0005318174371495843,0.02048,0.030587609857320786,38.73,0.9229,0.1699999999999946,0.7627,0.3617,0.5312
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",46,86.53,0.1347,0.0,0.11396503448486328,0.18236833810806274,0.13790538907051086,0.10470994561910629,0.0014151097275316715,0.0005380973452702165,0.02061,0.031272344291210175,38.67,0.9222,0.1700000000000017,0.7645,0.3595,0.5288
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",47,86.32,0.1368,0.0,0.10592363029718399,0.20668405294418335,0.12032625824213028,0.11433296650648117,0.001486768713220954,0.0005411353195086122,0.02043,0.031081900000572205,38.65,0.9239,0.14999999999999858,0.7998,0.3761,0.5466
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",48,85.65,0.1435,0.0,0.1313599795103073,0.21332328021526337,0.14723865687847137,0.08206812292337418,0.0015652177389711142,0.0005382199888117611,0.02139,0.03257283568382263,38.29,0.9212,0.13000000000000256,0.8076,0.3904,0.5615
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",0,85.06,0.1494,0.0,0.16729475557804108,0.18791836500167847,0.1342969536781311,0.10795319825410843,0.0015611720737069845,0.0004928043927066028,0.02056,0.02987862378358841,38.8,0.9285,0.20999999999999375,0.8166,0.3906,0.5618
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",1,86.52,0.1348,0.0,0.1534668207168579,0.16871491074562073,0.11966632306575775,0.0972902849316597,0.0015518623404204845,0.0004969150759279728,0.01984,0.029521137475967407,38.95,0.9304,0.23000000000000398,0.8273,0.4145,0.5861
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",2,84.27,0.1573,0.0,0.1672770380973816,0.17012697458267212,0.15214598178863525,0.13948377966880798,0.001543298363685608,0.0004979274235665798,0.02002,0.029441822320222855,39.1,0.9316,0.25,0.8047,0.4155,0.5871
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",3,84.8,0.152,0.0,0.1690654754638672,0.21385249495506287,0.14523229002952576,0.08002790808677673,0.0016058622859418392,0.0004881138156633824,0.02057,0.02937137335538864,39.04,0.9321,0.21999999999999886,0.792,0.4167,0.5882
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",4,84.32,0.1568,0.0,0.18536046147346497,0.19168473780155182,0.16017839312553406,0.08989688754081726,0.0016658742679283023,0.00048819699441082776,0.02069,0.0284705962985754,39.13,0.934,0.20000000000000284,0.795,0.3965,0.5678
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",5,84.89,0.1511,0.0,0.13067682087421417,0.25525858998298645,0.12965431809425354,0.08899110555648804,0.001776182558387518,0.0004878976324107498,0.02148,0.028737738728523254,39.05,0.9332,0.19999999999999574,0.8595,0.3291,0.4952
